order_id,product_id,add_to_cart_order,reordered
2,1819,8,1
2,9327,3,0
2,17794,6,1
2,28985,2,1
2,30035,5,0
2,33120,1,1
2,40141,7,1
2,43668,9,0
2,45918,4,1
3,17461,7,1
3,17668,5,1
3,17704,3,1
3,21903,4,1
3,24838,2,1
3,32665,8,1
3,33754,1,1
3,46667,6,1
4,10054,5,1
4,17616,10,1
4,21351,6,1
4,22598,7,1
4,25146,11,1
4,26434,2,1
4,27761,4,1
4,32645,12,1
4,34862,8,1
4,39758,3,1
4,40285,9,1
4,41276,13,1
4,46842,1,0
5,6184,12,1
5,6348,10,1
5,8479,26,0
5,9633,8,1
5,12962,16,1
5,13176,1,1
5,13245,7,1
5,15005,2,1
5,18569,19,1
5,20914,14,1
5,23909,5,1
5,24773,18,1
5,27360,9,1
5,27966,4,1
5,37011,15,1
5,38693,24,0
5,40878,11,1
5,41176,20,1
5,45698,17,1
5,46522,23,0
5,47209,22,0
5,47329,3,1
5,48002,13,1
5,48366,21,1
5,48370,6,1
5,48825,25,0
6,15873,2,0
6,40462,1,0
6,41897,3,0
7,34050,1,0
7,46802,2,0
8,23423,1,1
9,432,13,1
9,2014,4,1
9,3990,14,1
9,11182,3,0
9,14183,15,0
9,14992,7,1
9,18362,11,0
9,21405,1,0
9,23288,9,0
9,27366,12,1
9,29193,5,1
9,31506,8,1
9,34203,6,1
9,44533,10,1
9,47890,2,1
10,1529,6,0
10,3464,14,0
10,4605,5,1
10,4796,2,1
10,21137,7,1
10,22122,8,1
10,24852,1,1
10,25720,15,0
10,26842,13,0
10,27156,10,0
10,31717,3,0
10,34134,9,1
10,47766,4,1
10,49235,12,1
11,1313,4,1
11,5994,3,1
11,27085,2,1
11,30162,1,1
12,3164,7,0
12,11175,12,0
12,15221,2,1
12,23390,13,0
12,25213,11,0
12,26910,8,0
12,29471,14,0
12,30597,1,1
12,34335,6,1
12,37215,5,0
12,37886,4,1
12,38050,10,1
12,38888,9,0
12,43511,15,0
12,43772,3,1
13,196,4,0
13,3800,12,0
13,17330,1,0
13,23020,10,0
13,25783,7,0
13,25952,13,0
13,26878,6,0
13,27407,2,0
13,33198,9,0
13,35419,3,0
13,36086,11,0
13,41290,8,0
13,44635,5,0
14,162,3,1
14,2452,4,1
